Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,15,0.2775998431347993,0.6048368921160538,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,18,0.2301184622726894,0.6724265917938799,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,15,0.2725501771277523,0.612025086787157,,,,,,,
resnet101,0,340.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,11.5,17,0.24435739119362632,0.6521574902634306,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,48,0.13519144491119578,0.8075551090838046,,,,,,,
resnet101,0,340.csv,Standardization,16.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,18,0.22579724500734583,0.6785778403865735,,,,,,,
resnet101,0,340.csv,KnnImpute,7.5,22,0.20400474285796183,0.7095994460930886,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,11,0.31696500153279195,0.5488006272564194,,,,,,,
resnet101,0,340.csv,MinMax,12.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,75,0.04224139015206403,0.939869422023692,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,23,0.21112792204218048,0.6994596074222028,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,9.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,12.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,MinMax,16.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,43,0.41225706020831443,0.4131524740094684,,,,,,,
resnet101,0,340.csv,KnnImpute,16.5,13,0.39774397269720985,0.43381184002753537,,,,,,,
resnet101,0,340.csv,MinMax,19.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,39,0.4236624539114427,0.3969169071176687,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,13,0.3995884473323913,0.43118623217048235,,,,,,,
resnet101,0,340.csv,MinMax,16.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,10.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,24,0.4048368970344649,0.4237150691020044,,,,,,,
resnet101,0,340.csv,Standardization,12.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,5.0,27,0.40605343648725095,0.4219833263690197,,,,,,,
resnet101,0,340.csv,Standardization,14.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,58,0.3105470789771244,0.5579365337995098,,,,,,,
resnet101,0,340.csv,Standardization,1.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,18,0.4083047639256263,0.418778563940603,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,20,0.40912681232903086,0.41760837883440083,,,,,,,
resnet101,0,340.csv,KnnImpute,2.5,46,0.39783947622341115,0.4336758908504703,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,53,0.36511198279666124,0.4802634460512343,,,,,,,
resnet101,0,340.csv,Standardization,6.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,27,0.40275581345258066,0.4266774895655646,,,,,,,
resnet101,0,340.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,18.0,13,0.39858721780516837,0.43261148143292694,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,13,0.39688300095650497,0.43503743246669235,,,,,,,
resnet101,0,340.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,19,0.4055177577732912,0.42274586449960805,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,36,0.4218502597992007,0.3994965636815767,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,13,0.39925037756430576,0.43166747415797657,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,26,0.4023944548555814,0.42719188317846546,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,13,0.39864231071408357,0.4325330567304362,,,,,,,
resnet101,0,340.csv,KnnImpute,14.0,13,0.40065026092378764,0.42967474155135454,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,18,0.40872408818846667,0.41818165625850934,,,,,,,
resnet101,0,340.csv,MinMax,13.5,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,71,0.22796297251399242,0.6754949293780805,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,14.5,14,0.35485502869090335,0.494864210288288,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,80,0.0971589140797626,0.8616943798929138,,,,,,,
resnet101,0,340.csv,Standardization,1.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,15.5,12,0.36871718583268503,0.47513144302061294,,,,,,,
resnet101,0,340.csv,Standardization,16.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,10,0.408323655086613,0.418751672391232,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,11,0.3852244148493463,0.45163341850044636,,,,,,,
resnet101,0,340.csv,KnnImpute,13.0,15,0.3372971653039359,0.5198578118171862,,,,,,,
resnet101,0,340.csv,MinMax,1.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,8.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,23,0.27259610836394094,0.6119597037169207,,,,,,,
resnet101,0,340.csv,MinMax,13.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,12.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,14,0.36161190464133186,0.4852458039159866,,,,,,,
resnet101,0,340.csv,KnnImpute,16.5,11,0.37979590899930377,0.45936089132119773,,,,,,,
resnet101,0,340.csv,KnnImpute,12.5,15,0.3316558240258904,0.527888255663597,,,,,,,
resnet101,0,340.csv,KnnImpute,14.0,14,0.348520580242168,0.5038812915209938,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,27,0.25568534585899977,0.6360321577668854,,,,,,,
resnet101,0,340.csv,MinMax,2.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,Standardization,3.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,61,0.14895709622723616,0.7879597177656192,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,25,0.26204811993252536,0.6269747550347202,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,41,0.23650627045504602,0.6633335530320359,,,,,,,
resnet101,0,340.csv,KnnImpute,9.0,22,0.29443837964137043,0.5808672517048277,,,,,,,
resnet101,0,340.csv,KnnImpute,4.5,34,0.24640084947800084,0.6492486293744404,,,,,,,
resnet101,0,340.csv,Standardization,10.0,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,17,0.3164857845943658,0.5494827921042114,,,,,,,
resnet101,0,340.csv,KnnImpute,17.5,11,0.3912000763201508,0.4431270701833876,,,,,,,
resnet101,0,340.csv,KnnImpute,6.5,23,0.2683962584013265,0.6179381860717076,,,,,,,
resnet101,0,340.csv,KnnImpute,7.5,23,0.2776721152872226,0.6047340127770653,,,,,,,
resnet101,0,340.csv,MinMax,10.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,3.0,46,0.2076372883183878,0.7044285211478082,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,19,0.2993761434793497,0.5738383496630303,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,20,0.2819919514249097,0.5985847302182532,,,,,,,
resnet101,0,340.csv,Standardization,19.5,0,0.702494341265709,-1.4519618174446691e-08,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,11,0.4035862933498655,0.42549530223598875,,,,,,,
resnet101,0,340.csv,KnnImpute,10.0,19,0.3640826743188719,0.47851356206884754,,,,,,,
resnet101,0,340.csv,KnnImpute,4.5,33,0.23718598702835822,0.660271459678762,,,,,,,
resnet101,0,340.csv,MinMax,0.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,MinMax,11.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,Standardization,15.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,Standardization,15.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,19.0,11,0.5099639123566778,0.26956352804802064,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,82,0.09211491918529655,0.8680610628447959,,,,,,,
resnet101,0,340.csv,MinMax,3.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,61,0.138228750826536,0.8020108509061601,,,,,,,
resnet101,0,340.csv,KnnImpute,5.0,30,0.24557771565205042,0.6482517373004831,,,,,,,
resnet101,0,340.csv,Standardization,9.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,12.5,17,0.4202490222957516,0.398064832139964,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,28,0.2550880080214701,0.6346298628163685,,,,,,,
resnet101,0,340.csv,Standardization,8.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,10.5,18,0.3735859843884777,0.4649016885403272,,,,,,,
resnet101,0,340.csv,KnnImpute,2.5,53,0.16659637160438018,0.7613790643491778,,,,,,,
resnet101,0,340.csv,KnnImpute,14.5,14,0.4628531505762828,0.33704167266185736,,,,,,,
resnet101,0,340.csv,KnnImpute,6.0,27,0.2659151911157758,0.6191217665982749,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,12,0.5050947208357441,0.2765378158155082,,,,,,,
resnet101,0,340.csv,MinMax,12.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,Standardization,17.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,14.0,14,0.45366072069117036,0.35020826326023535,,,,,,,
resnet101,0,340.csv,KnnImpute,13.5,16,0.4427348187034259,0.3658577574841312,,,,,,,
resnet101,0,340.csv,KnnImpute,16.0,12,0.4804625044103747,0.31181927167178125,,,,,,,
resnet101,0,340.csv,KnnImpute,9.5,20,0.3539869796525881,0.4929739256656879,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,18,0.3845437279505199,0.4492065866829734,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,41,0.21210715037880082,0.6961926229593323,,,,,,,
resnet101,0,340.csv,MinMax,18.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,7.0,26,0.28783231359031336,0.5877292205224977,,,,,,,
resnet101,0,340.csv,Standardization,8.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,6.5,26,0.2763185785299212,0.6042206855315364,,,,,,,
resnet101,0,340.csv,MinMax,7.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,1.5,70,0.11517327783330374,0.8350338902709183,,,,,,,
resnet101,0,340.csv,KnnImpute,4.0,36,0.22932534252016729,0.6715304944902603,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,10,0.5145357292029715,0.26301517886741865,,,,,,,
resnet101,0,340.csv,KnnImpute,17.0,11,0.49128451647176086,0.29631858207786366,,,,,,,
resnet101,0,340.csv,Standardization,13.0,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,MinMax,16.5,0,0.6981923510737713,-4.166040966957496e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,5.5,27,0.28427847970303827,0.5928194824481474,,,,,,,
resnet101,0,340.csv,Standardization,17.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,15,0.35886646517506376,0.48598489349377005,,,,,,,
resnet101,0,340.csv,MinMax,16.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,Standardization,13.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,Standardization,1.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,1.0,79,0.15558095153431506,0.7771567779835885,,,,,,,
resnet101,0,340.csv,KnnImpute,3.5,43,0.26086914173813747,0.6263493731315775,,,,,,,
resnet101,0,340.csv,KnnImpute,19.5,11,0.44488400379618454,0.3627794157844769,,,,,,,
resnet101,0,340.csv,Standardization,6.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,MinMax,9.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,8.0,23,0.32180645056774915,0.5390670541414876,,,,,,,
resnet101,0,340.csv,KnnImpute,10.5,15,0.35373243242668606,0.49333852122456534,,,,,,,
resnet101,0,340.csv,MinMax,11.5,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,18.5,11,0.4350501745268568,0.3768647017884833,,,,,,,
resnet101,0,340.csv,KnnImpute,16.5,13,0.41880966224448757,0.40012647033090054,,,,,,,
resnet101,0,340.csv,MinMax,14.0,0,0.6981923510737711,-4.1660409669352916e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,9.0,18,0.3343861951043764,0.521048712069148,,,,,,,
resnet101,0,340.csv,KnnImpute,15.0,13,0.40385975124392015,0.42153967229020495,,,,,,,
resnet101,0,340.csv,KnnImpute,4.5,33,0.27196967778470904,0.6104497453536759,,,,,,,
