Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,MinMax,7.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,16.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,6.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,19.0,13,0.5589433966269408,0.20434461616371558
resnet50,0,153.csv,MinMax,16.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,12.5,22,0.48087219575189166,0.3154788950077979
resnet50,0,153.csv,MinMax,6.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,Standardization,6.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,3.0,59,0.27624271702276837,0.6067687598223342
resnet50,0,153.csv,KnnImpute,10.5,27,0.4535283772431715,0.354402794176118
resnet50,0,153.csv,KnnImpute,17.5,17,0.5430765116960512,0.22693111149787415
resnet50,0,153.csv,KnnImpute,17.0,18,0.5356404339227006,0.23751636100738882
resnet50,0,153.csv,KnnImpute,18.0,16,0.5477204699535377,0.22032044141539664
resnet50,0,153.csv,KnnImpute,13.5,20,0.4955770160248163,0.29454659758894775
resnet50,0,153.csv,MinMax,8.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,1.0,99,0.13861881707458842,0.8026762481281682
resnet50,0,153.csv,KnnImpute,11.0,26,0.4607809409122494,0.3440787768163267
resnet50,0,153.csv,Standardization,7.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,MinMax,4.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,14.5,20,0.5050622656258688,0.2810443539670493
resnet50,0,153.csv,Standardization,13.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,153.csv,KnnImpute,2.5,64,0.2555160354316882,0.6362731709962088
resnet50,0,153.csv,KnnImpute,2.0,71,0.22970699726346808,0.6730123118360574
