Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,MinMax,2.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,10.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,16.5,16,0.5723860997182392,0.18298159526199576
resnet50,0,153.csv,KnnImpute,1.5,89,0.14139864241386177,0.7981689399620974
resnet50,0,153.csv,KnnImpute,17.5,15,0.5718606283055754,0.18373164809437814
resnet50,0,153.csv,KnnImpute,15.0,19,0.5536273369385789,0.2097576725438185
resnet50,0,153.csv,KnnImpute,17.0,16,0.5721586460719527,0.18330626040556275
resnet50,0,153.csv,KnnImpute,4.0,50,0.31940506420109943,0.5440842883024566
resnet50,0,153.csv,Standardization,10.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,5.0,42,0.44986135004746347,0.3578722426173697
resnet50,0,153.csv,MinMax,3.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,8.0,31,0.528354592371516,0.24583174467746582
resnet50,0,153.csv,KnnImpute,14.0,17,0.5911476155855045,0.15620158824944708
resnet50,0,153.csv,KnnImpute,4.5,47,0.4399644592675716,0.3719989691763024
resnet50,0,153.csv,KnnImpute,17.0,15,0.640336281195274,0.08599016081005284
resnet50,0,153.csv,Standardization,2.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,13.5,20,0.5844120623964512,0.1658158519855113
resnet50,0,153.csv,KnnImpute,18.5,14,0.6513201192255538,0.07031193621686771
resnet50,0,153.csv,Standardization,4.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,MinMax,4.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,MinMax,18.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,Standardization,7.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,16.0,17,0.6229968197526528,0.11074034103602304
resnet50,0,153.csv,KnnImpute,2.5,57,0.39295136159688177,0.43910501189747764
resnet50,0,153.csv,Standardization,2.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,MinMax,10.0,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,11.0,21,0.5486523343261155,0.21685894334687128
resnet50,0,153.csv,KnnImpute,12.5,20,0.5680474864139418,0.18917449009713783
resnet50,0,153.csv,MinMax,17.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,Standardization,10.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,19.0,14,0.6545273785615955,0.06573392513727694
resnet50,0,153.csv,KnnImpute,9.5,27,0.5408894061115319,0.2279396722973066
resnet50,0,153.csv,KnnImpute,12.0,20,0.5604355663632854,0.20003967144909907
resnet50,0,153.csv,KnnImpute,6.0,34,0.466208008668955,0.33453917957425583
resnet50,0,153.csv,KnnImpute,7.5,34,0.514645255112237,0.26540032061441665
resnet50,0,153.csv,KnnImpute,0.5,118,0.2726287028744301,0.6108524158467428
resnet50,0,153.csv,KnnImpute,15.0,18,0.6064901258862428,0.13430183684605668
resnet50,0,153.csv,MinMax,15.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,9.0,28,0.5366287634157713,0.23402127263694195
resnet50,0,153.csv,Standardization,0.5,0,0.7006090847364281,-4.26583351387233e-05
resnet50,0,153.csv,KnnImpute,1.0,94,0.3259939070178189,0.5346794375385483
resnet50,0,153.csv,KnnImpute,14.5,17,0.5982757251132945,0.14602699337710556
resnet50,0,39.csv,KnnImpute,1.5,76,0.4645517623549324,0.3387110161442053
resnet50,0,39.csv,KnnImpute,8.0,29,0.4845561329295561,0.3102348140027945
resnet50,0,39.csv,Standardization,11.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,18.5,14,0.6231281003195225,0.11297775261165455
resnet50,0,39.csv,KnnImpute,12.5,19,0.5499364877116689,0.21716594228261454
resnet50,0,39.csv,Standardization,19.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,0.5,107,0.38955122012945115,0.4454742153741512
resnet50,0,39.csv,KnnImpute,16.0,16,0.5914178932439206,0.15811720167666554
resnet50,0,39.csv,KnnImpute,7.0,38,0.46378273333591985,0.33980572820806765
resnet50,0,39.csv,MinMax,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,7.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,0.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,15.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,16.5,16,0.5991000358454763,0.14718167912248203
resnet50,0,39.csv,MinMax,6.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,14.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,1.0,81,0.46723920877155095,0.33488543877258237
resnet50,0,39.csv,KnnImpute,6.5,38,0.4557676753828045,0.3512151554428121
resnet50,0,39.csv,KnnImpute,3.5,52,0.4523824000801561,0.3560340915579443
resnet50,0,39.csv,KnnImpute,17.5,15,0.6128849063128821,0.12755892936093938
resnet50,0,39.csv,KnnImpute,12.0,22,0.5453592477969053,0.22368163886883397
resnet50,0,39.csv,MinMax,10.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,4.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,3.0,55,0.45623201515917294,0.35055416822080276
resnet50,0,39.csv,KnnImpute,10.5,23,0.5262078708883903,0.25094360535254967
resnet50,0,39.csv,KnnImpute,9.5,27,0.5160484428659549,0.2654055413044347
resnet50,0,39.csv,KnnImpute,9.0,29,0.5108514939289108,0.2728033930837648
resnet50,0,39.csv,KnnImpute,18.0,16,0.6193669995456821,0.11833167592109162
resnet50,0,39.csv,KnnImpute,14.0,18,0.5651042689124056,0.19557462043133989
resnet50,0,39.csv,KnnImpute,4.5,48,0.4426964039546813,0.3698220976629617
resnet50,0,39.csv,KnnImpute,8.5,29,0.4963461607719925,0.29345172078615656
resnet50,0,39.csv,Standardization,13.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,13.5,18,0.5594543903400407,0.2036172171079471
resnet50,0,39.csv,KnnImpute,19.5,14,0.6274702535820327,0.10679670164726773
resnet50,0,39.csv,KnnImpute,2.5,59,0.4512000650287897,0.35771714435863056
resnet50,0,39.csv,KnnImpute,2.0,70,0.46200482107017704,0.3423365845966815
resnet50,0,39.csv,KnnImpute,15.0,17,0.5774772457157035,0.17796169993342403
resnet50,0,39.csv,MinMax,7.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,5.0,44,0.43588803032399953,0.379513810933235
resnet50,0,39.csv,Standardization,5.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,7.5,34,0.44965067102927747,0.35992270521655456
resnet50,0,39.csv,MinMax,18.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,15.5,16,0.5766871338320995,0.17908642343461634
resnet50,0,39.csv,MinMax,12.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,13.0,22,0.5326032212866718,0.2418398302536401
resnet50,0,39.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,18.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,8.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,10.5,29,0.4935324386816559,0.29745705145703594
resnet50,0,39.csv,Standardization,2.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,19.0,13,0.6237590189721329,0.11207964052062425
resnet50,0,39.csv,KnnImpute,9.0,32,0.4775924867011865,0.3201475576655157
resnet50,0,39.csv,Standardization,7.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,14.5,18,0.5586281335803384,0.20479339280526399
resnet50,0,39.csv,KnnImpute,13.5,20,0.5391905409449832,0.23246278709897483
resnet50,0,39.csv,Standardization,17.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,4.0,49,0.32821185462891117,0.5327907427651717
resnet50,0,39.csv,KnnImpute,16.0,17,0.5836132668292633,0.16922707982019003
resnet50,0,39.csv,KnnImpute,5.5,38,0.3936285517523205,0.43967013775734887
resnet50,0,39.csv,Standardization,4.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,11.5,26,0.5062647235730866,0.2793326562436048
resnet50,0,39.csv,KnnImpute,17.0,14,0.5997256583001628,0.14629110616406782
resnet50,0,39.csv,KnnImpute,16.5,15,0.5916231558481045,0.15782501055837928
resnet50,0,39.csv,MinMax,7.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,9.5,32,0.4824167112696909,0.313280278663868
resnet50,0,39.csv,KnnImpute,5.0,41,0.3721825255764728,0.4701985352510506
resnet50,0,39.csv,MinMax,3.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,4.5,40,0.3487485478415247,0.5035567798640659
resnet50,0,39.csv,KnnImpute,0.5,111,0.05197425859398456,0.9260146932216037
resnet50,0,39.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,6.5,35,0.4199257159045869,0.4022361500518953
resnet50,0,39.csv,MinMax,15.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,8.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,2.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,14.0,20,0.4994398936837387,0.2890477949821537
resnet50,0,39.csv,Standardization,3.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,19.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,6.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,5.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,6.5,42,0.3851101606276134,0.4517960592744431
resnet50,0,39.csv,KnnImpute,7.0,41,0.4059284093791643,0.422161302336309
resnet50,0,39.csv,KnnImpute,10.0,28,0.4539360985529597,0.3538224032864582
resnet50,0,39.csv,KnnImpute,17.0,18,0.5356404339227006,0.23751636100738882
resnet50,0,39.csv,KnnImpute,3.5,55,0.2893416873050794,0.5881223883100709
resnet50,0,39.csv,KnnImpute,14.5,20,0.5050622656258688,0.2810443539670493
resnet50,0,39.csv,Standardization,4.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,16.0,18,0.5227034921975303,0.2559320850254653
resnet50,0,39.csv,KnnImpute,17.5,17,0.5430765116960512,0.22693111149787415
resnet50,0,39.csv,MinMax,3.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,7.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,9.0,34,0.4443054417339715,0.3675316339422807
resnet50,0,39.csv,MinMax,0.5,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,13.5,20,0.4955770160248163,0.29454659758894775
resnet50,0,39.csv,KnnImpute,4.0,53,0.30702105033470584,0.5629558321575039
resnet50,0,39.csv,KnnImpute,5.5,44,0.3530686918690136,0.49740705902441895
resnet50,0,39.csv,KnnImpute,18.0,16,0.5477204699535377,0.22032044141539664
resnet50,0,39.csv,Standardization,1.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,6.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,18.5,13,0.5525222863023412,0.2134850604927938
resnet50,0,39.csv,Standardization,15.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,2.0,71,0.22970699726346808,0.6730123118360574
resnet50,0,39.csv,KnnImpute,19.0,13,0.5589433966269408,0.20434461616371558
resnet50,0,39.csv,MinMax,2.0,0,0.7024943412657091,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,6.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,18.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,12.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,12.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,19.5,15,0.5450457865711118,0.22412785062020557
resnet50,0,39.csv,Standardization,4.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,7.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,17.0,14,0.5192595700240233,0.2608345049044729
resnet50,0,39.csv,Standardization,6.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,12.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,2.5,64,0.256923954388713,0.6342689997242659
resnet50,0,39.csv,MinMax,3.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,17.5,15,0.5242185662198603,0.25377537862182575
resnet50,0,39.csv,KnnImpute,5.0,46,0.34058482478335167,0.5151778317318978
resnet50,0,39.csv,KnnImpute,8.5,30,0.4375877898440446,0.3770942049024413
resnet50,0,39.csv,KnnImpute,16.5,17,0.5134871558112631,0.26905153094652345
resnet50,0,39.csv,MinMax,3.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,14.0,21,0.4827487760115947,0.31280758482532833
resnet50,0,39.csv,KnnImpute,19.0,15,0.5395157467289455,0.2319998569804229
resnet50,0,39.csv,KnnImpute,15.0,21,0.4914790331946806,0.30038007217929574
resnet50,0,39.csv,MinMax,5.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,11.0,24,0.4608700953168806,0.34395186560766833
resnet50,0,39.csv,KnnImpute,8.0,32,0.43054209566409757,0.3871237437447803
resnet50,0,39.csv,KnnImpute,1.0,96,0.1430749678121561,0.7963329218684285
resnet50,0,39.csv,Standardization,1.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,MinMax,1.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,16.0,19,0.5022741730727988,0.28501320101644845
resnet50,0,39.csv,KnnImpute,10.5,26,0.4577513233831253,0.3483914344352541
resnet50,0,39.csv,KnnImpute,14.5,21,0.48684219844789045,0.30698060195119525
resnet50,0,39.csv,KnnImpute,10.0,26,0.4534464943106194,0.3545193544513132
resnet50,0,39.csv,KnnImpute,4.5,50,0.3241870375226505,0.5385200660184348
resnet50,0,39.csv,KnnImpute,2.0,74,0.23016534700376157,0.6723598514246002
resnet50,0,39.csv,Standardization,2.0,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,KnnImpute,9.0,31,0.4457726595982429,0.3654430507332952
resnet50,0,39.csv,KnnImpute,7.0,34,0.39934777760500206,0.4315288252943643
resnet50,0,39.csv,KnnImpute,1.5,85,0.19215913282846656,0.7264616604991809
resnet50,0,39.csv,Standardization,1.5,0,0.702494341265709,-1.4519618174446691e-08
resnet50,0,39.csv,Standardization,10.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,MinMax,15.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,MinMax,5.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,Standardization,12.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,Standardization,3.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,Standardization,2.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,Standardization,17.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,MinMax,9.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,9.5,31,0.4960018109851468,0.28956186090990366
resnet50,0,39.csv,Standardization,19.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,0.5,114,0.053710369783853434,0.9230690406486752
resnet50,0,39.csv,KnnImpute,16.5,16,0.604954033272984,0.13350635397906407
resnet50,0,39.csv,KnnImpute,13.0,20,0.5667010521757776,0.18829723599493986
resnet50,0,39.csv,KnnImpute,11.5,21,0.5393436508595779,0.22748205518505338
resnet50,0,39.csv,KnnImpute,7.0,39,0.4242796929048544,0.392291582802167
resnet50,0,39.csv,KnnImpute,16.0,16,0.6001870369664755,0.1403342645028559
resnet50,0,39.csv,KnnImpute,14.0,20,0.5789739392356278,0.17071841500889307
resnet50,0,39.csv,KnnImpute,6.5,41,0.4049744841187618,0.4199430072546235
resnet50,0,39.csv,MinMax,2.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,13.5,20,0.5733710680586824,0.17874357395862484
resnet50,0,39.csv,KnnImpute,8.5,31,0.4750390040702882,0.3195875124395169
resnet50,0,39.csv,KnnImpute,1.5,82,0.14223560346366523,0.7962717167576849
resnet50,0,39.csv,MinMax,4.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,10.0,29,0.5095259437428733,0.27019084351356926
resnet50,0,39.csv,KnnImpute,1.0,90,0.1029203494183767,0.8525841238965081
resnet50,0,39.csv,KnnImpute,18.5,19,0.6254433970426355,0.10415882914091945
resnet50,0,39.csv,MinMax,7.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,8.0,31,0.4653616980250938,0.3334486055764514
resnet50,0,39.csv,Standardization,4.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,18.0,19,0.6207677291584534,0.11085592725038829
resnet50,0,39.csv,MinMax,14.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,Standardization,17.5,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,15.5,17,0.5953234118123208,0.147300579397728
resnet50,0,39.csv,KnnImpute,3.0,63,0.23825230892431484,0.6587441351274064
resnet50,0,39.csv,KnnImpute,11.0,23,0.5310258997539947,0.23939581736492999
resnet50,0,39.csv,Standardization,5.0,0,0.6981923510737713,-4.166040966957496e-05
resnet50,0,39.csv,KnnImpute,6.0,45,0.38670384418766796,0.44611258798024755
resnet50,0,39.csv,KnnImpute,12.5,21,0.5573283260774587,0.20172207021936617
resnet50,0,39.csv,KnnImpute,15.0,17,0.5905407449227926,0.15415093536343638
resnet50,0,39.csv,KnnImpute,6.0,39,0.4346960833207879,0.3773718771494122
resnet50,0,39.csv,KnnImpute,16.0,16,0.5181624796902442,0.2578204763279168
resnet50,0,39.csv,Standardization,11.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,MinMax,14.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,MinMax,8.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,MinMax,18.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,MinMax,19.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,Standardization,6.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,5.5,40,0.42355342014650094,0.39333184486470185
resnet50,0,39.csv,KnnImpute,15.5,17,0.5140842237631083,0.2636618835313561
resnet50,0,39.csv,KnnImpute,13.5,20,0.5018074288973464,0.281246301783982
resnet50,0,39.csv,KnnImpute,1.0,91,0.20620524658559558,0.7046460952150195
resnet50,0,39.csv,Standardization,15.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,7.5,34,0.4678902142303014,0.3298269366476243
resnet50,0,39.csv,Standardization,1.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,12.0,22,0.48383995970583016,0.30698164204660394
resnet50,0,39.csv,KnnImpute,3.0,55,0.3442561160427409,0.5069117308946417
resnet50,0,39.csv,KnnImpute,1.5,79,0.2558570993729263,0.6335282704100149
resnet50,0,39.csv,MinMax,4.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,Standardization,14.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,4.5,46,0.41339565647227483,0.40788111174681474
resnet50,0,39.csv,KnnImpute,3.5,51,0.37311639043575817,0.46557430191896654
resnet50,0,39.csv,KnnImpute,10.0,27,0.47333378373610235,0.3220299502172167
resnet50,0,39.csv,KnnImpute,13.0,20,0.49618662698442123,0.2892971434599052
resnet50,0,39.csv,KnnImpute,7.0,36,0.46060714618862436,0.3402586915158552
resnet50,0,39.csv,KnnImpute,17.5,16,0.5317352038465647,0.23837986002684386
resnet50,0,39.csv,MinMax,12.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,8.0,31,0.4719914504543341,0.323952614081778
resnet50,0,39.csv,Standardization,9.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,MinMax,0.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,19.5,16,0.5518266539704725,0.2096022787327344
resnet50,0,39.csv,KnnImpute,2.0,70,0.29406155874468326,0.5788068875039614
resnet50,0,39.csv,KnnImpute,10.5,23,0.47518786172077315,0.3193742992014649
resnet50,0,39.csv,KnnImpute,16.5,15,0.522469433968998,0.2516514976766763
resnet50,0,39.csv,KnnImpute,17.0,15,0.5270465521819975,0.24509555519094184
resnet50,0,39.csv,MinMax,2.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,KnnImpute,11.0,23,0.4764097034632479,0.3176242189506241
resnet50,0,39.csv,Standardization,5.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,39.csv,Standardization,3.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,MinMax,17.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,5.0,46,0.36987454997141345,0.4727338222928884
resnet50,0,39.csv,Standardization,18.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,3.5,56,0.2977443487060376,0.5755573756338218
resnet50,0,39.csv,MinMax,19.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,12.5,19,0.47814805677126815,0.31838700907820083
resnet50,0,39.csv,Standardization,14.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,MinMax,2.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,6.5,37,0.41037496581107163,0.4149993838002276
resnet50,0,39.csv,KnnImpute,7.0,38,0.41959686930823265,0.40185331087223697
resnet50,0,39.csv,KnnImpute,0.5,111,0.08070107926926355,0.8849584281848214
resnet50,0,39.csv,MinMax,1.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,Standardization,7.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,14.0,19,0.48780125524245876,0.3046261134963172
resnet50,0,39.csv,KnnImpute,17.0,17,0.5151646885481296,0.2656187990186393
resnet50,0,39.csv,KnnImpute,6.0,41,0.4015504571196526,0.42757895968136705
resnet50,0,39.csv,KnnImpute,18.0,16,0.5250006387955987,0.25159738583543656
resnet50,0,39.csv,KnnImpute,10.0,28,0.4584647315826764,0.3464461216544973
resnet50,0,39.csv,MinMax,13.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,Standardization,4.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,2.5,74,0.2383580098847601,0.6602142082835256
resnet50,0,39.csv,Standardization,9.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,5.5,44,0.388078840129037,0.44678311416759775
resnet50,0,39.csv,KnnImpute,16.0,16,0.5059677845017416,0.2787292345532085
resnet50,0,39.csv,KnnImpute,15.5,17,0.5017137626062236,0.2847934578551512
resnet50,0,39.csv,KnnImpute,9.5,29,0.45318233600255226,0.35397631946584784
resnet50,0,39.csv,MinMax,13.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,19.0,15,0.5331310636496973,0.24000724524239814
resnet50,0,39.csv,KnnImpute,8.0,35,0.43747483993870323,0.37636778006127203
resnet50,0,39.csv,Standardization,11.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,16.5,16,0.5105126663916628,0.2722503824602105
resnet50,0,39.csv,KnnImpute,8.5,32,0.4440655314322354,0.36697257103023684
resnet50,0,39.csv,KnnImpute,11.5,22,0.4733145129257527,0.3252773565984658
resnet50,0,39.csv,KnnImpute,10.5,25,0.4654823154554731,0.3364423659875163
resnet50,0,39.csv,MinMax,0.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,39.csv,KnnImpute,1.0,89,0.15062721535415882,0.7852768293882575
resnet50,0,39.csv,KnnImpute,3.0,60,0.2673306375245628,0.618912943746804
resnet50,0,39.csv,KnnImpute,17.5,17,0.5199792253075419,0.2587555466138389
resnet50,0,39.csv,MinMax,15.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,17.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,16.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,17.0,14,0.6685993557745378,0.04564772042390752
resnet50,0,39.csv,KnnImpute,18.0,14,0.6684892507180347,0.04580488332087862
resnet50,0,39.csv,Standardization,4.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,6.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,MinMax,9.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,MinMax,13.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,Standardization,3.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,14.0,17,0.6694702722078028,0.044404582696914274
resnet50,0,39.csv,KnnImpute,8.5,32,0.6869425980950447,0.019464753042623184
resnet50,0,39.csv,KnnImpute,14.5,18,0.671405121286748,0.04164279776072033
resnet50,0,39.csv,KnnImpute,11.0,24,0.680225714543717,0.02905236791764909
resnet50,0,39.csv,KnnImpute,5.0,43,0.6151612001088195,0.12192482903230706
resnet50,0,39.csv,MinMax,5.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,7.0,40,0.6770333777471073,0.03360907870820906
resnet50,0,39.csv,KnnImpute,12.0,22,0.6792661287782163,0.030422071395292183
resnet50,0,39.csv,KnnImpute,10.0,26,0.6803774098033774,0.028835839565344634
resnet50,0,39.csv,KnnImpute,1.0,98,0.14253362564824149,0.7965488758270428
resnet50,0,39.csv,MinMax,1.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,39.csv,KnnImpute,19.0,13,0.6680944029334503,0.04636848524488457
