Pretrained model,Lower Bound,Upper bound,Scaling,Number of features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet50,0,153,Standardization,1617,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1278,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1170,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1308,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1655,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1049,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1109,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1197,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1878,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1586,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1692,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1237,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1485,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1760,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1211,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1212,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1221,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1678,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1303,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1756,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1879,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1680,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1685,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1385,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1394,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1617,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1819,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1773,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1215,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1027,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1268,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1547,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1631,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1826,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1609,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,MinMax,1193,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,MinMax,1554,0.48095238095238096,0.4120578733138633,0.1882403007305482
resnet50,0,153,Standardization,1762,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1847,0.45714285714285713,0.341637898274967,0.14773940904236382
resnet50,0,153,Standardization,1228,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1657,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1366,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1392,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1800,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1246,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1718,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1729,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1717,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1249,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1175,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1386,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1299,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1089,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1456,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1489,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1664,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1818,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1643,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1728,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1780,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1533,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1773,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1808,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1126,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1716,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1418,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1795,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1482,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1063,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1314,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1066,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1118,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1704,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1806,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1488,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1602,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,Standardization,1230,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1836,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1438,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1511,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1233,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1578,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1684,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1137,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1588,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,MinMax,1839,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1883,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1370,0.5571428571428572,0.503219512195122,0.3216630196936542
resnet50,0,153,Standardization,1548,0.5190476190476191,0.44269493253166087,0.24602751413031887
resnet50,0,153,MinMax,1505,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1828,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1713,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1570,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1263,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1697,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1232,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1869,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1199,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1538,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1084,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1480,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1214,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1661,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1489,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1422,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1049,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1854,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1101,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1675,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1205,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1747,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1199,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1670,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1439,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1074,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1394,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1096,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1391,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1363,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1405,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1117,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1805,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1025,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1223,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1509,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1410,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,MinMax,1430,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1204,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1885,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1705,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1378,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1239,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1636,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,MinMax,1678,0.4238095238095238,0.27239506172839506,0.08924731182795698
resnet50,0,153,Standardization,1629,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1346,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1183,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1242,0.40476190476190477,0.35078299929785084,0.08194313293463429
resnet50,0,153,Standardization,1779,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1210,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1658,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1325,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1128,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1288,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1838,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1790,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1533,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1471,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1174,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1332,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1254,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1026,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1196,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1810,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1591,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1428,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1079,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1653,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1673,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1148,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1557,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1223,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1568,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1817,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1721,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1824,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1868,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1227,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1648,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1429,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1261,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1717,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1431,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1367,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1686,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1435,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1666,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1580,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1829,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1642,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1391,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1766,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,MinMax,1574,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,MinMax,1798,0.3523809523809524,0.23030303030303031,-0.014060502769492889
resnet50,0,153,Standardization,1548,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1208,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1268,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1129,0.5285714285714286,0.5231802535256066,0.28416485900216926
resnet50,0,153,Standardization,1726,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1115,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1647,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1143,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1628,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1389,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1682,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1860,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1579,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1128,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1171,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1367,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1559,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1054,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1098,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1676,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1822,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1819,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1857,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1751,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1423,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1617,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1292,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1862,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1075,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1479,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1162,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1571,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1592,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1083,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1333,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1851,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1453,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1666,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1146,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1730,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1146,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1770,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1064,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1828,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1554,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1099,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1450,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1355,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1418,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1655,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1673,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,Standardization,1452,0.5952380952380952,0.49082663368377655,0.3765716680637049
resnet50,0,153,MinMax,1651,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,MinMax,1693,0.4714285714285714,0.38346120843869586,0.17084622772382885
resnet50,0,153,Standardization,1463,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,MinMax,1047,0.5167464114832536,0.43728099781441904,0.2516131319577395
resnet50,0,153,Standardization,1041,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,Standardization,1775,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,Standardization,1754,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,MinMax,1372,0.5167464114832536,0.43728099781441904,0.2516131319577395
resnet50,0,153,Standardization,1790,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,MinMax,1347,0.5167464114832536,0.43728099781441904,0.2516131319577395
resnet50,0,153,MinMax,1691,0.5167464114832536,0.43728099781441904,0.2516131319577395
resnet50,0,153,Standardization,1247,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,MinMax,1059,0.5167464114832536,0.43728099781441904,0.2516131319577395
resnet50,0,153,Standardization,1860,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,Standardization,1631,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,Standardization,1280,0.4784688995215311,0.4588827374215502,0.19199120380222745
resnet50,0,153,MinMax,1656,0.5167464114832536,0.43728099781441904,0.2516131319577395
