Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet50,0,153,Standardization,1331,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1779,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1758,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1634,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1575,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1813,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1284,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1103,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1062,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1651,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1259,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1446,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1619,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1398,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1327,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1454,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1792,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1099,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1117,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1740,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1668,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1242,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1568,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1772,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1680,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1082,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1517,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,MinMax,1723,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1677,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,Standardization,1769,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1727,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1821,0.4666666666666667,0.4063417763463568,0.17401229148375752
resnet50,0,153,MinMax,1041,0.5238095238095238,0.43270215068737466,0.2647058823529411
resnet50,0,153,Standardization,1436,0.4666666666666667,0.4063417763463568,0.17401229148375752
