Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
vgg16,0,10,Standardization,463,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,373,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,MinMax,337,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,MinMax,410,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,MinMax,419,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,336,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,406,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,488,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,324,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,MinMax,338,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,421,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,445,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,480,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,303,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,307,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,442,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,447,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,342,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,382,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,442,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,343,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,303,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,MinMax,423,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,461,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,458,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,506,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,MinMax,392,0.7904761904761904,0.7640484588897287,0.6864182447566688
vgg16,0,10,Standardization,339,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,391,0.7238095238095238,0.730843101849111,0.5906707890845544
vgg16,0,10,Standardization,466,0.7238095238095238,0.730843101849111,0.5906707890845544
